id	sex	age
person1	0	60.183703446078425
person2	1	51.01368604233337
person3	1	54.33679098034976
person4	0	59.46932338757811
person5	0	28.142662702165005
person6	1	45.204931754640484
person7	0	42.944410185608064
person8	1	40.41683227634987
person9	0	45.872866231599744
person10	0	72.42411966851594
person11	1	37.01253326460135
person12	1	64.52417531887221
person13	1	24.75695342576293
person14	1	44.976724550213376
person15	1	52.441295976575084
person16	1	58.79333497038917
person17	1	60.66839869689282
person18	0	61.90020852799888
person19	1	44.769123916273436
person20	0	43.064723110031494
person21	1	62.869638218857304
person22	0	47.13043512677578
person23	0	30.864705149931172
person24	1	33.000691789947794
person25	1	36.20821570997583
person26	1	57.45741116080646
person27	0	52.13638604105848
person28	1	60.357280311016524
person29	1	43.591210304951986
person30	0	52.37809536615072
person31	0	59.38385590951005
person32	0	45.35980190419642
person33	0	56.851628563361174
person34	1	40.071110884000234
person35	1	44.554192301523926
person36	0	44.273931590025065
person37	1	32.0624053161644
person38	1	57.304587211783726
person39	0	42.958964896959145
person40	1	50.18741178091531
person41	0	57.211199883588634
person42	1	56.697967640449164
person43	1	59.98077663459179
person44	0	48.52271773235864
person45	0	43.650525319337696
person46	1	48.80422683640401
person47	0	24.68998349062955
person48	1	28.29331291365369
person49	1	30.159505814683964
person50	1	35.04129758597777
person51	1	55.99661340085155
person52	0	36.41781416959909
person53	0	44.32756168940915
person54	0	69.48842446679097
person55	0	44.65604043407861
person56	0	61.0627335270063
person57	1	35.995734799851846
person58	0	46.91843663198555
person59	1	35.749669176341285
person60	1	44.91450386149156
person61	1	62.60462206186094
person62	1	24.09019365211477
person63	0	56.51635465318786
person64	1	53.56603403498417
person65	0	41.08775066454808
person66	0	28.30913218417318
person67	1	51.081942615708044
person68	0	42.05760936404296
person69	0	53.49014317032056
person70	0	50.32778218285164
person71	1	74.02668336981372
person72	0	46.409665587904634
person73	0	34.647537610672025
person74	0	52.689134524344745
person75	1	53.29995025957648
person76	0	70.38781362860655
person77	0	62.52666868871868
person78	0	55.35306588724264
person79	1	71.94954336829343
person80	1	32.168554185157234
person81	1	40.40372700875378
person82	0	36.10136087891713
person83	0	44.15285295266348
person84	1	29.34970778665537
person85	1	59.52726420221607
person86	1	46.6666595435184
person87	0	27.937905582460132
person88	0	34.76631378188688
person89	1	54.70270771175293
person90	1	62.571898518415715
person91	0	79.9509633753768
person92	1	93.70793699010994
person93	1	56.216141499139944
person94	0	35.15692819952204
person95	1	23.0
person96	0	54.015671935157535
person97	0	37.80588357034511
person98	1	43.76964109730472
person99	1	40.81854801410288
person100	0	47.88813670375422
